asset_id;name;latitude;longitude;country;production;firm
M1687;Jhilmili Coal Mine;23,350314;82,728807;India;0,31;Coal India Ltd [100.0%]
M1690;Junad Coal Mine;20,058148;79,052317;India;0,74;Coal India Ltd [100.0%]
M1691;Kakatiya Khani-1 & 1A Coal Mine;18,465613;79,840804;India;0,221;The Singareni Collieries Co Ltd [100%]
M1693;Kakatiya Khani-3 Coal Mine;18,434261;79,857403;India;0,09;The Singareni Collieries Co Ltd [100%]
M1694;Kakatiya Khani-5 &5A Coal Mine;18,433594;79,858582;India;0,208;The Singareni Collieries Co Ltd [100%]
M1695;Kakatiya Khani-6 & 6A Incline;18,465613;79,840804;India;0,12;The Singareni Collieries Co Ltd [100%]
M1697;Kanchan Coal Mine;23,345851;80,871272;India;1,52;Coal India Ltd [100.0%]
M1698;Karkati Coal Mine;23,154677;81,482805;India;0,16;Coal India Ltd [100.0%]
M1699;Kasipet-1 UG Coal Mine;19,03497042;79,43009821;India;0,146;The Singareni Collieries Co Ltd [100%]
M1700;Kathautia Coal Mine;24,132523;84,08231;India;0,18;Hindalco Industries Ltd [100%]
M1701;Katkona Coal Mine;23,359829;82,680745;India;0,25;Coal India Ltd [100.0%]
M1703;Khairaha Coal Mine;23,160448;81,461364;India;0,82;Coal India Ltd [100.0%]
M1704;Kondapuram Coal Mine;17,9377778;79,34805556;India;0,06;The Singareni Collieries Co Ltd [100%]
M1705;Kurasia Coal Mine;23,178488;82,368221;India;0,2;Coal India Ltd [100.0%]
M1708;Makardhokra I Coal Mine;20,865366;79,285604;India;4,2;Coal India Ltd [100.0%]
M1711;Meera Coal Mine;23,186224;81,986798;India;0,08;Coal India Ltd [100.0%]
M1714;Nawapara Coal Mine;23,3666667;83,09805556;India;0,12;Coal India Ltd [100.0%]
M1715;Nawrozabad Coal Mine;23,356253;80,973834;India;0,1;Coal India Ltd [100.0%]
M1716;NCPH Coal Mine;23,194568;82,348931;India;0,24;Coal India Ltd [100.0%]
M1717;New Majri II A Coal Mine;20,119062;79,032223;India;2,47;Coal India Ltd [100.0%]
M1718;Pandavpara Coal Mine;23,350314;82,728807;India;0,275;Coal India Ltd [100.0%]
M1720;Rajgamar Coal Mine;22,390649;82,824423;India;0,15;Coal India Ltd [100.0%]
M1721;Rajnagar Coal Mine;23,208097;82,123782;India;0,19;Coal India Ltd [100.0%]
M1722;Rajrappa Coal Mine;23,615;85,682;India;1,32;Coal India Ltd [100.0%]
M1723;Ramkrishnapur Coal Mine;18,9030556;79,46583333;India;1,87;The Singareni Collieries Co Ltd [100%]
M1724;Ramnagar Coal Mine;23,756027;86,835903;India;0,57;Steel Authority of India Ltd [100%]
M1725;Rani Atari Coal Mine;22,86476;82,2987;India;0,5;Coal India Ltd [100.0%]
M1726;Ravindrakhani-5 Coal Mine;18,88;79,50222222;India;0,277;The Singareni Collieries Co Ltd [100%]
M1727;Ravindrakhani-6 Coal Mine;18,8647222;79,51138889;India;0,194;The Singareni Collieries Co Ltd [100%]
M1728;Ravindrakhani-7 Coal Mine;18,8716667;79,52055556;India;0,33;The Singareni Collieries Co Ltd [100%]
M1729;Ravindrakhani-NT Coal Mine;18,8411111;79,21666667;India;0,161;The Singareni Collieries Co Ltd [100%]
M1730;Rehar Coal Mine;23,101101;82,927943;India;0,07;Coal India Ltd [100.0%]
M1731;Saoner Coal Mine;21,358103;78,930266;India;0,505;Coal India Ltd [100.0%]
M1732;Saraipali Coal Mine;22,35732;82,296358;India;2;Coal India Ltd [100.0%]
M1733;Shanthikhani Coal Mine;19,0177778;79,51083333;India;0,067;The Singareni Collieries Co Ltd [100%]
M1734;Sharda Coal Mine;23,208242;81,589781;India;0,66;Coal India Ltd [100.0%]
M1735;Sheetaldhara-Kurja and Kapidhara Coal Mines;23,239816;82,112069;India;0,8;Coal India Ltd [100.0%]
M1737;Sial Gjogri Coal Mine;22,192428;78,77264;India;0,33;Birla Corp Ltd [100%]
M1738;Sikni Coal Mine;23,722988;84,611313;India;0,23;Jharkhand State Mineral Development Corporation Limited (JSMDCL) [100%]
M1739;Singhali Coal Mine;22,440833;82,567983;India;0,122;Coal India Ltd [100.0%]
M1740;Srirampur-II Coal Mine;18,8177778;79,48055556;India;3,17;The Singareni Collieries Co Ltd [100%]
M1741;Srirampur-III & III A Coal Mine;18,75;79,25;India;0,23;The Singareni Collieries Co Ltd [100%]
M1745;Talabira II & III Coal Mines;21,734804;83,989432;India;12,64;NLC India Ltd [100%]
M1746;Talcher UG Coal Mine;20,962009;85,178092;India;0,36;Coal India Ltd [100.0%]
M1747;Tawa Coal Mine;22,137615;78,170928;India;0,414;Coal India Ltd [100.0%]
M1750;Umaria Coal Mine;23,5;80,83;India;0,117;Coal India Ltd [100.0%]
M1751;Vakilpalli Coal Mine;17,4869444;80,65777778;India;2,1;The Singareni Collieries Co Ltd [100%]
M1753;Vijay Coal Mine;22,854326;82,32114;India;0,5;Coal India Ltd [100.0%]
M1754;Vindhya Coal Mine;23,335615;80,906108;India;0,465;Coal India Ltd [100.0%]
M1755;West Jhagrakhand Coal Mine;23,197211;82,161616;India;0,12;Coal India Ltd [100.0%]
M2498;Urimari Open Cast Coal Mine;23,698717;85,293249;India;0,76;Coal India Ltd [100.0%]
M2500;Khotadih Coal Mine;23,7244;87,233;India;1,35;Coal India Ltd [100.0%]
M2502;New Akashkinaree Coal Mine;23,802565;86,278261;India;0,688;Coal India Ltd [100.0%]
M2503;Umarsar Lignite Mine;23,73149782;68,81926985;India;1,41;Gujarat Mineral Development Co Ltd [100%]
M2505;Amalgamated Amlo Dhori Open Cast Mine;23,76663448;85,98552098;India;2,59;Coal India Ltd [100.0%]
M2511;Kakri Coal Mine;24,1709;82,7562;India;2,26;Coal India Ltd [100.0%]
M2512;Paoni-Il Coal Mine;19,82705027;79,25526677;India;3,24;Coal India Ltd [100.0%]
M2513;Rajapur-South Jharia Coal Mine;23,74879601;86,42139246;India;2,17;Coal India Ltd [100.0%]
M2515;Mata No Madh Lignite Coal Mine;23,510726;68,958531;India;3,23;State of Gujarat [100%]
M2543;Sirka Coal Mine;23,691032;85,355135;India;0,02;Coal India Ltd [100.0%]
M2588;Saunda-D Coal Mine;23,659463;85,337532;India;0,17;Coal India Ltd [100.0%]
M2598;Mudidih Coal Mine;23,74128;86,35299;India;0,823;Coal India Ltd [100.0%]
M2601;Ningah Coal Mine;23,6743;87,0333;India;0,0171;Coal India Ltd [100.0%]
M2602;Gopalichak Coal Mine;23,77983;86,343243;India;0,17;Coal India Ltd [100.0%]
M2616;Maheshpur Coal Mine;23,786246;86,25564;India;0,04;Coal India Ltd [100.0%]
M2617;Bhagabandh Coal Mine;23,741464;86,386103;India;0,02;Coal India Ltd [100.0%]
M2618;Kharkharee Colliery;23,777233;86,239083;India;0,005;Coal India Ltd [100.0%]
M2623;Kumardhubi Coal Mine;23,7761;86,7274;India;0,02;Coal India Ltd [100.0%]
M2624;Bejdih Coal Mine;23,6935;86,8753;India;0,038;Coal India Ltd [100.0%]
M2625;Chapuikhas Colliery;23,6545;87,0449;India;0,0238;Coal India Ltd [100.0%]
M2626;Patmohana Coal Mine;23,6853;86,8903;India;0,046;Coal India Ltd [100.0%]
M2634;Khoodia Coal Mine;23,773738;86,729687;India;0,025;Coal India Ltd [100.0%]
M2635;Maohusudanpur 7 Pit & Incline Coal Mine;23,6338;87,2037;India;0,018;Coal India Ltd [100.0%]
M2636;Methani Coal Mine;23,6946;86,8902;India;0,054;Coal India Ltd [100.0%]
M2637;Jogidih Coal Mine;23,808718;86,257656;India;0,02;Coal India Ltd [100.0%]
M2643;Dhemonmain Coal Mine;23,7046;86,9087;India;0,047;Coal India Ltd [100.0%]
M2644;CL Jambad Coal Mine;23,65457;87,197937;India;0,058;Coal India Ltd [100.0%]
M2650;Khadsaliya Lignite Mine;21,6259;72,2397;India;0,169;GHCL Ltd [100%]
M2653;Dubeshwari OC Coal Mine;23,660393;86,821519;India;0,05;Coal India Ltd [100.0%]
M2654;Hariajam Coal Mine;23,792582;86,690235;India;0,047;Coal India Ltd [100.0%]
M2655;Chinakuri III Coal Mine;23,6853;86,8596;India;0,068;Coal India Ltd [100.0%]
M2656;Narsamunda Coal Mine;23,6901;86,9149;India;0,053;Coal India Ltd [100.0%]
